"item","p_item","n_llms","topic","quiz"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-003",1,6,"Infectious Disease","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-004",1,6,"Pediatrics","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-005",1,6,"Emergency Medicine","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-006",1,6,"Obstetrics and Gynecology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-007",1,6,"Psychiatry","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-008",1,6,"Neurology","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-009",1,6,"Pediatrics","gemini-3-pro-preview"
"ABMS20260101_gemini-3-pro-preview_p05::ABMS20260101_gemini-3-pro-preview_p05-010",1,6,"Pediatrics","gemini-3-pro-preview"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-001",0.833333333333333,6,"Pediatrics","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-002",1,6,"Emergency Medicine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-003",1,6,"Obstetrics and Gynecology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-004",1,6,"Anesthesiology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-005",1,6,"Psychiatry","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-006",0.833333333333333,6,"General Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-007",1,6,"Ophthalmology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-008",1,6,"Orthopedic Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-009",1,6,"Critical Care Medicine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p01::ABMS20260101_gpt-5.1-2025-11-13_p01-010",0.5,6,"Neurology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-001",0.666666666666667,6,"Dermatology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-002",1,6,"Urology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-003",1,6,"Otolaryngology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-004",1,6,"Physical Medicine and Rehabilitation","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-005",0.833333333333333,6,"Plastic Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-006",0.5,6,"Neurological Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-007",0.666666666666667,6,"Radiation Oncology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-008",1,6,"Thoracic Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-009",0.166666666666667,6,"Vascular Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p02::ABMS20260101_gpt-5.1-2025-11-13_p02-010",0.666666666666667,6,"Cardiovascular","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-001",0.666666666666667,6,"Endocrine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-002",1,6,"Gastrointestinal","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-003",1,6,"Pulmonary","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-004",1,6,"Nephrology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-005",1,6,"Hematology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-006",0.666666666666667,6,"Immunology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-007",1,6,"Rheumatology/Musculoskeletal","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-008",0.166666666666667,6,"Infectious Disease","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-009",0.833333333333333,6,"Medical Oncology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p03::ABMS20260101_gpt-5.1-2025-11-13_p03-010",1,6,"Allergy/Immunology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-001",1,6,"Geriatrics","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-002",1,6,"Pediatrics","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-003",1,6,"Emergency Medicine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-004",0.5,6,"Obstetrics and Gynecology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-005",1,6,"Anesthesiology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-006",1,6,"Psychiatry","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-007",1,6,"General Surgery","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-008",1,6,"Neurology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-009",1,6,"Cardiovascular","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p04::ABMS20260101_gpt-5.1-2025-11-13_p04-010",0.666666666666667,6,"Endocrine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-001",1,6,"Gastrointestinal","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-002",1,6,"Pulmonary","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-003",0.5,6,"Infectious Disease","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-004",0.333333333333333,6,"Pediatrics","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-005",1,6,"Emergency Medicine","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-006",0.833333333333333,6,"Obstetrics and Gynecology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-007",1,6,"Psychiatry","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-008",1,6,"Neurology","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-009",1,6,"Pediatrics","gpt-5.1-2025-11-13"
"ABMS20260101_gpt-5.1-2025-11-13_p05::ABMS20260101_gpt-5.1-2025-11-13_p05-010",1,6,"Pediatrics","gpt-5.1-2025-11-13"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-001",0.333333333333333,6,"Pediatrics","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-002",1,6,"Emergency Medicine","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-003",1,6,"Obstetrics and Gynecology","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-004",1,6,"Anesthesiology","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-005",1,6,"Psychiatry","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-006",1,6,"General Surgery","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-007",1,6,"Ophthalmology","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-008",0.833333333333333,6,"Orthopedic Surgery","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-009",1,6,"Critical Care Medicine","grok-4-0709"
"ABMS20260101_grok-4-0709_p01::ABMS20260101_grok-4-0709_p01-010",1,6,"Neurology","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-001",0.833333333333333,6,"Dermatology","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-002",1,6,"Urology","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-003",1,6,"Otolaryngology","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-004",1,6,"Physical Medicine and Rehabilitation","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-005",1,6,"Plastic Surgery","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-006",0,6,"Neurological Surgery","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-007",1,6,"Radiation Oncology","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-008",1,6,"Thoracic Surgery","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-009",1,6,"Vascular Surgery","grok-4-0709"
"ABMS20260101_grok-4-0709_p02::ABMS20260101_grok-4-0709_p02-010",1,6,"Cardiovascular","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-001",1,6,"Endocrine","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-002",1,6,"Gastrointestinal","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-003",1,6,"Pulmonary","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-004",0.5,6,"Nephrology","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-005",1,6,"Hematology","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-006",1,6,"Immunology","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-007",1,6,"Rheumatology/Musculoskeletal","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-008",1,6,"Infectious Disease","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-009",1,6,"Medical Oncology","grok-4-0709"
"ABMS20260101_grok-4-0709_p03::ABMS20260101_grok-4-0709_p03-010",1,6,"Allergy/Immunology","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-001",1,6,"Geriatrics","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-002",0.5,6,"Pediatrics","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-003",1,6,"Emergency Medicine","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-004",0.833333333333333,6,"Obstetrics and Gynecology","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-005",0.833333333333333,6,"Anesthesiology","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-006",1,6,"Psychiatry","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-007",1,6,"General Surgery","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-008",1,6,"Neurology","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-009",1,6,"Cardiovascular","grok-4-0709"
"ABMS20260101_grok-4-0709_p04::ABMS20260101_grok-4-0709_p04-010",1,6,"Endocrine","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-001",0.833333333333333,6,"Gastrointestinal","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-002",1,6,"Pulmonary","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-003",1,6,"Infectious Disease","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-004",1,6,"Pediatrics","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-005",0.333333333333333,6,"Emergency Medicine","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-006",1,6,"Obstetrics and Gynecology","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-007",1,6,"Psychiatry","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-008",1,6,"Neurology","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-009",0.833333333333333,6,"Pediatrics","grok-4-0709"
"ABMS20260101_grok-4-0709_p05::ABMS20260101_grok-4-0709_p05-010",0.166666666666667,6,"Pediatrics","grok-4-0709"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-001",0.166666666666667,6,"Pediatrics","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-002",0,6,"Emergency Medicine","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-003",1,6,"Obstetrics and Gynecology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-004",1,6,"Anesthesiology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-005",1,6,"Psychiatry","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-006",1,6,"General Surgery","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-007",0.5,6,"Ophthalmology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-008",0.666666666666667,6,"Orthopedic Surgery","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-009",0.666666666666667,6,"Critical Care Medicine","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p01::ABMS20260101_kimi-k2-thinking_p01-010",1,6,"Neurology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-001",1,6,"Dermatology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-002",0.833333333333333,6,"Urology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-003",1,6,"Otolaryngology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-004",1,6,"Physical Medicine and Rehabilitation","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-005",0.833333333333333,6,"Plastic Surgery","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-006",1,6,"Neurological Surgery","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-007",1,6,"Radiation Oncology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-008",1,6,"Thoracic Surgery","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-009",0.666666666666667,6,"Vascular Surgery","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p02::ABMS20260101_kimi-k2-thinking_p02-010",0.666666666666667,6,"Cardiovascular","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-001",1,6,"Endocrine","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-002",0.666666666666667,6,"Gastrointestinal","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-003",1,6,"Pulmonary","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-004",1,6,"Nephrology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-005",1,6,"Hematology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-006",1,6,"Immunology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-007",1,6,"Rheumatology/Musculoskeletal","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-008",1,6,"Infectious Disease","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-009",1,6,"Medical Oncology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p03::ABMS20260101_kimi-k2-thinking_p03-010",0.666666666666667,6,"Allergy/Immunology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-001",0.5,6,"Geriatrics","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-002",1,6,"Pediatrics","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-003",1,6,"Emergency Medicine","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-004",1,6,"Obstetrics and Gynecology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-005",1,6,"Anesthesiology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-006",1,6,"Psychiatry","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-007",0.5,6,"General Surgery","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-008",1,6,"Neurology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-009",1,6,"Cardiovascular","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p04::ABMS20260101_kimi-k2-thinking_p04-010",1,6,"Endocrine","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-001",1,6,"Gastrointestinal","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-002",1,6,"Pulmonary","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-003",0.833333333333333,6,"Infectious Disease","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-004",1,6,"Pediatrics","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-005",1,6,"Emergency Medicine","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-006",1,6,"Obstetrics and Gynecology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-007",1,6,"Psychiatry","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-008",0.833333333333333,6,"Neurology","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-009",0.5,6,"Pediatrics","kimi-k2-thinking"
"ABMS20260101_kimi-k2-thinking_p05::ABMS20260101_kimi-k2-thinking_p05-010",0.833333333333333,6,"Pediatrics","kimi-k2-thinking"
